strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,1123,15-05-2020,28-05-2020,ITM,call
8100,1027,15-05-2020,28-05-2020,ITM,call
8200,931,15-05-2020,28-05-2020,ITM,call
8300,840,15-05-2020,28-05-2020,ITM,call
8400,751,15-05-2020,28-05-2020,ITM,call
8500,665,15-05-2020,28-05-2020,ITM,call
8600,580,15-05-2020,28-05-2020,ITM,call
8700,503,15-05-2020,28-05-2020,ITM,call
8800,430,15-05-2020,28-05-2020,ITM,call
8900,362,15-05-2020,28-05-2020,ITM,call
9000,301,15-05-2020,28-05-2020,ITM,call
9100,246,15-05-2020,28-05-2020,ATM,call
9200,198,15-05-2020,28-05-2020,OTM,call
9300,156,15-05-2020,28-05-2020,OTM,call
9400,122,15-05-2020,28-05-2020,OTM,call
9500,95,15-05-2020,28-05-2020,OTM,call
9600,73,15-05-2020,28-05-2020,OTM,call
9700,56,15-05-2020,28-05-2020,OTM,call
9800,43,15-05-2020,28-05-2020,OTM,call
9900,32,15-05-2020,28-05-2020,OTM,call
10000,24,15-05-2020,28-05-2020,OTM,call
10100,17,15-05-2020,28-05-2020,OTM,call
10200,13,15-05-2020,28-05-2020,OTM,call
10300,9,15-05-2020,28-05-2020,OTM,call
10400,7,15-05-2020,28-05-2020,OTM,call
10500,6,15-05-2020,28-05-2020,OTM,call
10600,5,15-05-2020,28-05-2020,OTM,call
10700,4.5,15-05-2020,28-05-2020,OTM,call
10800,4,15-05-2020,28-05-2020,OTM,call
10900,3.5,15-05-2020,28-05-2020,OTM,call
11000,3,15-05-2020,28-05-2020,OTM,call
